
Evaluarea operatiei de cautare pentru un singur factor de umplere 95%. 

Factor de umplere, Efort mediu gasite, Efort maxim gasite, Efort mediu negasite, Efort maxim negasite 
0.95,1,5,41,239

Completarea evaluarii pentru toti factorii de umplere. 

Factor de umplere, Efort mediu gasite, Efort maxim gasite, Efort mediu negasite, Efort maxim negasite 
0.8,1,18,9,66
0.85,1,17,16,84
0.9,4,84,25,96
0.95,3,83,39,249
0.99,3,77,113,1049

Evaluare operatie cautare dupa stergerea unor elemente.

Factor de umplere, Efort mediu gasite, Efort maxim gasite, Efort mediu negasite, Efort maxim negasite 
0.8,7,294,110,983
